Date,Open,High,Low,Close,Adj Close,Volume
2009-05-11,778.880005,799.979980,774.049988,790.880005,790.880005,0
2009-05-12,795.510010,795.669983,769.799988,781.320007,781.320007,0
2009-05-13,772.190002,774.530029,757.179993,758.719971,758.719971,0
2009-05-14,765.080017,778.890015,762.739990,773.809998,773.809998,0
2009-05-15,771.619995,784.890015,768.380005,773.369995,773.369995,0
2009-05-18,783.460022,796.799988,778.820007,796.799988,796.799988,0
2009-05-19,793.320007,814.669983,788.950012,805.309998,805.309998,0
2009-05-20,808.469971,822.919983,798.460022,801.630005,801.630005,0
2009-05-21,793.559998,802.530029,783.200012,792.159973,792.159973,0
2009-05-22,796.739990,803.890015,785.760010,794.500000,794.500000,0
2009-05-26,786.289978,825.080017,785.950012,824.590027,824.590027,0
2009-05-27,821.390015,836.789978,817.489990,818.599976,818.599976,0
2009-05-28,826.250000,833.280029,810.450012,831.369995,831.369995,0
2009-05-29,832.349976,839.229980,824.820007,839.229980,839.229980,0
2009-06-01,849.549988,875.869995,848.609985,872.510010,872.510010,0
2009-06-02,866.099976,873.469971,853.500000,858.760010,858.760010,0
2009-06-03,851.690002,852.830017,837.849976,848.469971,848.469971,0
2009-06-04,849.559998,863.760010,848.869995,863.030029,863.030029,0
2009-06-05,868.070007,869.419983,851.390015,860.900024,860.900024,0
2009-06-08,854.409973,861.530029,841.190002,855.059998,855.059998,0
2009-06-09,864.419983,880.809998,864.150024,875.390015,875.390015,0
2009-06-10,881.570007,881.659973,862.159973,874.500000,874.500000,0
2009-06-11,874.080017,884.880005,872.570007,876.179993,876.179993,0
2009-06-12,872.409973,872.869995,857.789978,871.919983,871.919983,0
2009-06-15,861.280029,863.460022,843.780029,853.859985,853.859985,0
2009-06-16,858.479980,860.549988,839.830017,840.090027,840.090027,0
2009-06-17,844.419983,852.679993,831.700012,844.590027,844.590027,0
2009-06-18,843.919983,845.409973,831.809998,835.409973,835.409973,0
2009-06-19,842.489990,851.719971,840.700012,846.030029,846.030029,0
2009-06-22,835.539978,839.239990,815.750000,815.890015,815.890015,0
2009-06-23,818.010010,820.349976,806.289978,816.429993,816.429993,0
2009-06-24,823.340027,840.020020,822.840027,832.849976,832.849976,0
2009-06-25,827.909973,847.619995,824.330017,846.570007,846.570007,0
2009-06-26,843.130005,853.200012,842.010010,849.229980,849.229980,0
2009-06-29,851.059998,856.549988,843.390015,851.130005,851.130005,0
2009-06-30,851.030029,857.500000,841.460022,848.270020,848.270020,0
2009-07-01,851.780029,864.630005,851.039978,854.260010,854.260010,0
2009-07-02,843.700012,844.320007,834.130005,839.250000,839.250000,0
2009-07-06,835.200012,840.450012,825.320007,835.090027,835.090027,0
2009-07-07,836.469971,839.940002,812.250000,812.880005,812.880005,0
2009-07-08,815.010010,815.479980,799.799988,809.190002,809.190002,0
2009-07-09,816.010010,825.869995,812.130005,820.390015,820.390015,0
2009-07-10,818.159973,831.260010,816.270020,826.739990,826.739990,0
2009-07-13,828.849976,842.659973,812.840027,842.659973,842.659973,0
2009-07-14,841.460022,851.239990,839.140015,849.059998,849.059998,0
2009-07-15,866.460022,884.739990,865.169983,884.530029,884.530029,0
2009-07-16,880.150024,899.400024,879.109985,897.549988,897.549988,0
2009-07-17,895.289978,904.390015,889.690002,904.270020,904.270020,0
2009-07-20,909.059998,916.729980,904.859985,916.219971,916.219971,0
2009-07-21,917.130005,921.210022,903.960022,921.210022,921.210022,0
2009-07-22,917.150024,936.500000,915.020020,932.729980,932.729980,0
2009-07-23,925.690002,955.179993,925.179993,951.460022,951.460022,0
2009-07-24,937.520020,952.150024,933.229980,951.570007,951.570007,0
2009-07-27,950.809998,955.450012,940.840027,953.280029,953.280029,0
2009-07-28,950.919983,960.880005,944.049988,957.280029,957.280029,0
2009-07-29,949.909973,951.409973,939.809998,949.210022,949.210022,0
2009-07-30,952.580017,960.419983,941.000000,943.590027,943.590027,0
2009-07-31,945.289978,951.450012,939.539978,941.690002,941.690002,0
